element_id,line_load,load_case,load_direction,load_group,group_name,eccentricity
119,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
120,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
120,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
121,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
121,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
122,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
122,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
123,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
123,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
124,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
124,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
125,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
125,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
126,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
126,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
127,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
127,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
128,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
128,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
129,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
129,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
130,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
130,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
131,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
131,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
132,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
132,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
133,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
133,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
134,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
134,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
135,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
135,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
136,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
136,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
137,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
137,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
138,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
138,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
139,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
139,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
140,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
140,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
141,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
141,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
142,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
142,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
143,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
143,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
144,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
144,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
145,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
145,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
146,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
146,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
147,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
147,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
148,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
148,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
149,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
149,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
150,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
150,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
151,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
151,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
